loanId,payFrequency,apr,nPaidOff,loanAmount,originallyScheduledPaymentAmount,state,leadType,leadCost,fpStatus,hasCF,default,timeToApprove,clearfraudscore
LL-I-17905845,0,590.0,0.0,1250.0,4053.57,27,4,40,3,1,0,0.0,872.0
LL-I-05805964,0,360.0,0.0,300.0,635.28,12,6,0,1,1,0,1.0,887.0
LL-I-04012685,2,590.0,1.0,350.0,819.74,34,6,0,1,1,0,0.0,604.0
LL-I-16141295,0,360.0,0.0,1250.0,2756.84,12,4,25,1,1,0,2.0,901.0
LL-I-16436615,0,590.0,0.0,400.0,1191.31,27,0,3,1,1,0,1.0,630.0
LL-I-16280883,2,680.0,0.0,300.0,928.26,34,6,0,1,1,0,4.0,539.0
LL-I-09610821,0,404.1,1.0,437.0,671.41,38,4,40,1,1,0,13.0,776.0
LL-I-06096660,0,449.99,0.0,350.0,739.78,38,0,6,1,1,0,0.0,776.0
LL-I-06551971,4,360.0,0.0,300.0,636.69,12,0,6,3,1,0,9.0,755.0
LL-I-17420721,0,590.0,0.0,1000.0,2998.23,38,4,40,1,1,0,0.0,845.0
LL-I-05046988,4,601.0,0.0,600.0,1834.92,21,0,6,3,1,0,1.0,406.0
LL-I-04845274,0,590.0,0.0,700.0,1967.44,33,0,3,1,1,0,70.0,610.0
LL-I-15326150,4,681.0,0.0,300.0,1069.91,27,0,3,1,1,0,3.0,546.0
LL-I-08009479,4,590.0,0.0,400.0,1195.88,33,0,6,1,1,0,1.0,543.0
LL-I-17438410,0,475.0,0.0,1000.0,2554.26,19,4,40,1,1,0,0.0,693.0
LL-I-10600917,0,360.0,0.0,1500.0,3308.28,12,4,25,1,1,0,14.0,886.0
LL-I-17336468,0,680.0,0.0,350.0,1100.32,34,4,25,3,1,0,0.0,505.0
LL-I-14164868,0,645.0,0.0,350.0,1125.45,7,4,25,1,1,0,0.0,629.0
LL-I-12328588,0,590.0,0.0,600.0,1899.1,24,4,6,1,1,0,2.0,764.0
LL-I-08473772,0,360.0,0.0,375.0,791.26,12,7,0,1,1,0,146.0,774.0
LL-I-08985443,4,360.0,1.0,468.0,1046.22,12,6,0,1,1,0,20.0,774.0
LL-I-14387400,0,645.0,0.0,500.0,1728.52,7,4,25,1,1,0,0.0,852.0
LL-I-13552584,3,645.0,0.0,400.0,1368.3,9,6,0,1,1,0,12.0,513.0
LL-I-16961190,0,359.0,0.0,500.0,978.27,36,0,3,1,1,0,8.0,704.0
LL-I-12829744,0,645.0,0.0,700.0,2458.14,20,4,6,3,1,0,62.0,760.0
LL-I-06770118,2,449.99,1.0,300.0,625.96,38,6,0,1,1,0,1.0,579.0
LL-I-02243485,2,449.99,0.0,300.0,759.51,38,0,6,1,1,0,4.0,579.0
LL-I-10199711,2,404.1,2.0,300.0,690.0,38,6,0,1,1,0,21.0,579.0
LL-I-12844369,4,645.0,0.0,1500.0,5196.5,29,4,6,1,1,0,0.0,849.0
LL-I-06702249,4,441.0,1.0,500.0,1183.55,19,6,0,1,1,0,0.0,504.0
LL-I-01710735,4,490.0,0.0,400.0,1048.69,19,4,25,1,1,0,2.0,504.0
LL-I-13009052,3,645.0,0.0,1500.0,5118.35,29,4,6,1,1,0,6.0,820.0
LL-I-04691446,4,601.0,0.0,600.0,1826.0,21,0,6,1,1,0,18.0,456.0
LL-I-11100723,4,490.0,0.0,500.0,1387.22,19,4,25,3,1,0,21.0,758.0
LL-I-09783131,4,590.0,0.0,1250.0,3992.68,17,4,40,3,1,0,55.0,852.0
LL-I-16936646,2,359.0,0.0,700.0,1342.16,36,4,25,1,1,0,0.0,624.0
LL-I-13016893,0,645.0,0.0,500.0,1583.47,15,0,3,1,1,0,4.0,559.0
LL-I-07255056,0,449.99,0.0,350.0,627.11,38,0,10,1,1,0,0.0,480.0
LL-I-15790218,4,590.0,0.0,500.0,1572.96,13,0,3,1,1,0,0.0,611.0
LL-I-16646386,4,645.0,1.0,400.0,1371.94,1,6,0,1,1,0,120.0,500.0
LL-I-05662612,0,449.99,0.0,400.0,860.56,38,0,6,3,1,0,3.0,558.0
LL-I-08561812,0,590.0,0.0,1100.0,3321.51,17,4,40,1,1,0,20.0,849.0
LL-I-05081970,0,590.0,0.0,500.0,1424.24,33,0,10,1,1,0,147.0,710.0
LL-I-07625151,0,590.0,0.0,700.0,1998.55,13,4,40,1,1,0,210.0,839.0
LL-I-17975840,0,516.25,2.0,800.0,2336.05,13,6,0,1,1,0,0.0,839.0
LL-I-11462356,0,199.0,0.0,3000.0,6651.74,3,7,0,1,1,0,115.0,831.0
LL-I-08702744,2,251.0,0.0,2600.0,6435.35,3,7,0,1,1,0,1.0,949.0
LL-I-09917608,0,650.0,0.0,350.0,1090.64,33,0,6,1,1,0,14.0,419.0
LL-I-04667450,0,590.0,1.0,350.0,930.77,27,6,0,1,1,0,74.0,778.0
LL-I-09039579,0,531.0,2.0,800.0,2339.36,27,6,0,3,1,0,229.0,778.0
LL-I-17798112,3,159.0,0.0,3250.0,6530.84,8,4,25,1,1,0,2.0,891.0
LL-I-05854842,4,601.0,0.0,600.0,1781.37,21,0,3,1,1,0,26.0,419.0
LL-I-14215802,4,645.0,0.0,800.0,2539.32,25,0,3,1,1,0,70.0,740.0
LL-I-12316281,3,590.0,0.0,350.0,1009.62,11,0,3,3,1,0,7.0,634.0
LL-I-12244797,0,590.0,0.0,600.0,1798.92,24,0,3,1,1,0,12.0,870.0
LL-I-17721625,2,360.0,0.0,500.0,1163.22,12,0,3,1,1,0,3.0,774.0
LL-I-11112149,4,199.0,0.0,2600.0,5912.63,3,7,0,1,1,0,32.0,835.0
LL-I-17808909,2,590.0,0.0,400.0,1026.98,19,4,25,1,1,0,85.0,751.0
LL-I-09395755,0,590.0,0.0,400.0,1274.07,13,6,0,1,1,0,71.0,719.0
LL-I-15584573,2,645.0,0.0,350.0,1002.38,29,0,3,1,1,0,0.0,800.0
LL-I-02238779,0,590.0,0.0,500.0,1485.67,27,0,3,1,1,0,0.0,687.0
LL-I-16813389,0,360.0,0.0,325.0,679.49,12,0,3,1,1,0,0.0,682.0
LL-I-13475329,0,645.0,0.0,1500.0,4823.59,7,0,10,3,1,0,27.0,601.0
LL-I-12250792,0,590.0,0.0,500.0,1498.77,11,0,3,3,1,0,3.0,425.0
LL-I-04764159,0,475.0,1.0,800.0,1883.93,27,6,0,1,1,0,0.0,752.0
LL-I-01288655,0,475.0,0.0,600.0,1561.95,27,4,75,1,1,0,26.0,752.0
LL-I-18338011,4,251.0,0.0,3500.0,9591.09,8,4,25,3,1,0,0.0,503.0
LL-I-18189037,2,650.0,0.0,500.0,1232.78,27,4,25,3,1,0,0.0,664.0
LL-I-18252786,4,359.0,0.0,1000.0,2048.31,36,4,40,1,1,0,0.0,760.0
LL-I-17386806,0,359.0,0.0,500.0,1034.93,36,4,25,1,1,0,0.0,730.0
LL-I-08414320,0,390.0,0.0,1000.0,2345.81,19,6,0,1,1,0,15.0,751.0
LL-I-13451769,2,645.0,0.0,500.0,1803.14,29,6,0,1,1,0,62.0,899.0
LL-I-04985750,0,360.0,0.0,325.0,689.14,12,7,0,3,1,0,0.0,738.0
LL-I-07962930,0,449.99,0.0,350.0,739.78,38,4,25,1,1,0,26.0,754.0
LL-I-13656857,4,199.0,0.0,3500.0,7911.71,3,7,0,1,1,0,2.0,881.0
LL-I-15114059,0,590.0,0.0,350.0,1042.44,33,0,6,1,1,0,0.0,514.0
LL-I-08738295,0,650.0,0.0,300.0,978.6,27,0,3,1,1,0,6.0,378.0
LL-I-13766271,0,645.0,0.0,400.0,1286.15,22,4,6,3,1,0,0.0,552.0
LL-I-04462908,0,681.0,0.0,300.0,1028.72,13,6,0,1,1,0,1.0,765.0
LL-I-12210896,0,360.0,0.0,400.0,828.61,12,0,3,3,1,0,1.0,614.0
LL-I-17995521,4,359.0,0.0,400.0,806.34,36,0,3,1,1,0,43.0,794.0
LL-I-11583754,0,590.0,0.0,400.0,1182.5,3,0,3,1,1,1,7.0,782.0
LL-I-18573518,2,625.0,0.0,600.0,1912.56,27,4,40,3,1,0,0.0,676.0
LL-I-01481196,0,475.0,0.0,1000.0,2358.39,27,4,75,1,1,0,161.0,921.0
LL-I-06549850,0,475.0,1.0,1000.0,2559.15,27,6,0,1,1,0,1554.0,921.0
LL-I-11477901,0,590.0,0.0,500.0,1629.56,3,0,6,1,1,0,54.0,565.0
LL-I-11956442,0,360.0,0.0,300.0,678.83,12,0,6,1,1,0,113.0,564.0
LL-I-08790977,0,360.0,0.0,500.0,1045.32,12,0,3,1,1,0,17.0,636.0
LL-I-07382471,4,590.0,0.0,700.0,2104.1,27,4,25,1,1,0,0.0,809.0
LL-I-09056989,0,501.5,1.0,750.0,1907.3,27,6,0,1,1,0,12.0,497.0
LL-I-10674393,0,390.0,2.0,500.0,1118.77,19,6,0,1,1,0,0.0,824.0
LL-I-11725284,0,341.25,3.0,1000.0,2167.86,19,6,0,1,1,0,1.0,824.0
LL-I-01499674,0,475.0,0.0,600.0,1465.05,27,4,170,1,1,0,27.0,768.0
LL-I-06997528,1,590.0,0.0,400.0,1204.74,27,4,75,1,1,0,0.0,816.0
LL-I-14137973,0,590.0,0.0,300.0,968.11,13,6,0,1,1,0,24.0,585.0
LL-I-13194318,0,645.0,0.0,300.0,921.37,2,4,6,1,1,0,0.0,784.0
LL-I-12209216,4,590.0,0.0,350.0,1113.56,17,0,3,1,1,0,54.0,565.0
LL-I-11936366,0,199.0,0.0,2600.0,5968.9,3,7,0,1,1,0,183.0,854.0
LL-I-13588678,4,650.0,0.0,300.0,1028.81,33,4,10,1,1,0,0.0,549.0
LL-I-08880729,0,590.0,0.0,800.0,2283.66,17,4,60,1,1,0,20.0,827.0
LL-I-11898083,0,199.0,0.0,3000.0,6685.55,3,7,0,1,1,0,50.0,889.0
LL-I-11196859,0,590.0,0.0,300.0,978.95,7,0,3,3,1,0,57.0,589.0
LL-I-07365728,4,590.0,0.0,350.0,1040.67,13,0,3,1,1,0,68.0,411.0
LL-I-15926573,0,645.0,0.0,600.0,2107.17,25,4,25,1,1,0,0.0,440.0
LL-I-10553709,1,680.0,1.0,300.0,990.15,34,4,6,1,1,0,2.0,606.0
LL-I-09727145,2,680.0,0.0,500.0,1521.91,34,7,0,3,1,0,40.0,706.0
LL-I-02706987,0,490.0,0.0,900.0,2376.55,19,0,3,1,1,0,0.0,625.0
LL-I-01641399,4,449.99,0.0,300.0,736.49,38,0,6,1,1,0,24.0,618.0
LL-I-12102535,0,525.0,1.0,751.0,1932.06,21,6,0,1,1,0,72.0,593.0
LL-I-16530421,0,180.2,0.0,500.0,739.73,4,0,3,1,1,0,0.0,720.0
LL-I-17750071,4,680.0,0.0,400.0,1413.55,34,4,40,1,1,0,0.0,592.0
LL-I-16012856,0,360.0,0.0,800.0,1718.45,12,4,25,1,1,0,0.0,661.0
LL-I-16751866,0,590.0,0.0,300.0,899.36,19,0,3,1,1,0,0.0,613.0
LL-I-08589982,0,449.99,0.0,350.0,851.45,26,0,3,1,1,0,17.0,603.0
LL-I-18467080,0,359.0,0.0,400.0,763.19,36,0,3,1,1,0,0.0,529.0
LL-I-13548268,4,645.0,0.0,400.0,1371.94,24,0,3,1,1,0,0.0,687.0
LL-I-15965228,3,625.0,0.0,500.0,1442.5,27,4,25,1,1,0,0.0,713.0
LL-I-09205858,2,590.0,0.0,350.0,888.3,17,0,3,1,1,0,19.0,681.0
LL-I-12544181,3,590.0,0.0,400.0,1145.94,29,0,3,1,1,0,19.0,750.0
LL-I-12687555,4,645.0,0.0,400.0,1351.09,23,4,25,3,1,0,0.0,786.0
LL-I-10013656,4,590.0,0.0,350.0,1100.39,17,0,3,1,1,1,33.0,529.0
LL-I-09793827,3,590.0,0.0,300.0,902.16,19,0,6,1,1,0,235.0,497.0
LL-I-10693162,0,590.0,0.0,850.0,2771.55,32,4,25,1,1,0,20.0,733.0
LL-I-08025055,1,590.0,0.0,1000.0,2978.4,13,4,40,1,1,0,651.0,859.0
LL-I-12455837,0,645.0,0.0,1500.0,5113.32,29,0,3,3,1,0,124.0,723.0
LL-I-16707809,0,180.2,0.0,500.0,788.11,4,0,3,1,1,0,0.0,693.0
LL-I-08367279,0,449.99,0.0,325.0,588.85,38,0,6,1,1,0,2.0,781.0
LL-I-10626530,0,449.99,1.0,400.0,646.0,38,6,0,1,1,0,1.0,781.0
LL-I-18227775,2,645.0,0.0,1250.0,3759.19,29,4,25,1,1,0,0.0,898.0
LL-I-02585193,0,590.0,0.0,800.0,2408.11,27,4,60,1,1,0,0.0,832.0
LL-I-17381101,0,359.0,0.0,1000.0,1956.64,36,4,40,1,1,0,0.0,826.0
LL-I-11379547,0,516.25,1.0,500.0,1445.71,33,6,0,1,1,0,3.0,552.0
LL-I-10059628,4,306.0,1.0,500.0,986.87,12,6,0,1,1,0,3.0,633.0
LL-I-05771555,4,360.0,0.0,400.0,844.17,12,0,10,1,1,0,0.0,633.0
LL-I-13421861,0,645.0,0.0,400.0,1305.38,7,4,25,1,1,0,0.0,591.0
LL-I-13584455,0,645.0,0.0,500.0,1583.47,29,4,6,1,1,0,0.0,616.0
LL-I-15278840,3,217.0,0.0,3100.0,7519.14,8,4,25,1,1,0,0.0,923.0
LL-I-13420270,0,360.0,0.0,500.0,1139.89,12,4,25,3,1,0,0.0,492.0
LL-I-04728978,1,590.0,0.0,1000.0,3036.62,17,4,40,1,1,0,0.0,900.0
LL-I-18353806,0,359.0,0.0,500.0,978.27,36,4,25,1,1,0,0.0,816.0
LL-I-07670076,4,590.0,1.0,500.0,1494.76,27,6,0,1,1,0,0.0,651.0
LL-I-06498679,0,650.0,0.0,350.0,996.65,27,0,3,1,1,0,4.0,651.0
LL-I-10135119,0,306.0,2.0,625.0,1183.07,12,6,0,1,1,0,2.0,555.0
LL-I-02708572,0,360.0,0.0,400.0,804.47,12,0,10,1,1,0,90.0,555.0
LL-I-05111303,4,601.0,0.0,600.0,1834.92,21,4,25,1,1,0,3.0,805.0
LL-I-12183300,4,590.0,0.0,350.0,1057.88,33,0,3,1,1,0,235.0,548.0
LL-I-06007922,0,601.0,0.0,600.0,1785.67,21,0,10,1,1,0,27.0,442.0
LL-I-17275711,0,359.0,0.0,1250.0,2587.42,36,4,40,1,1,0,7.0,608.0
LL-I-12063401,0,325.0,0.0,1500.0,2914.2,34,7,0,3,1,0,4.0,755.0
LL-I-18175910,4,590.0,0.0,600.0,1880.76,38,4,25,1,1,0,0.0,671.0
LL-I-18397271,3,359.0,0.0,600.0,1217.11,36,4,25,1,1,0,20.0,606.0
LL-I-06986124,4,601.0,0.0,800.0,2427.17,31,0,6,1,1,0,10.0,633.0
LL-I-01637692,0,390.0,0.0,900.0,1859.5,34,4,170,1,1,0,4.0,624.0
LL-I-15005895,0,590.0,0.0,300.0,943.02,13,0,3,1,1,0,0.0,778.0
LL-I-16660418,3,359.0,0.0,500.0,1027.48,36,0,3,1,1,0,12.0,559.0
LL-I-12529372,0,590.0,0.0,350.0,1136.69,18,0,3,1,1,0,0.0,803.0
LL-I-18555825,0,359.0,0.0,600.0,1251.59,36,0,3,3,1,0,0.0,619.0
LL-I-12459713,4,680.0,0.0,400.0,1442.22,34,6,0,1,1,0,25.0,743.0
LL-I-08054790,0,360.0,0.0,500.0,1045.32,12,4,25,1,1,0,25.0,768.0
LL-I-14964917,0,645.0,0.0,350.0,1216.97,7,4,25,1,1,0,125.0,559.0
LL-I-10268898,0,585.0,1.0,375.0,1124.7,27,4,25,1,1,0,124.0,601.0
LL-I-12207924,4,590.0,0.0,800.0,2508.34,17,0,3,1,1,0,3.0,454.0
LL-I-11445558,0,360.0,0.0,500.0,1093.21,12,6,0,1,1,0,2.0,702.0
LL-I-08466492,4,501.5,2.0,500.0,1391.88,27,6,0,1,1,0,1.0,300.0
LL-I-16473960,4,359.0,0.0,600.0,1219.89,36,4,25,1,1,0,0.0,765.0
LL-I-16909917,0,359.0,0.0,400.0,763.19,36,4,25,1,1,0,0.0,578.0
LL-I-09113777,4,306.0,1.0,950.0,1875.37,12,6,0,1,1,0,0.0,824.0
LL-I-04855864,4,360.0,0.0,600.0,1277.72,12,4,6,1,1,0,33.0,824.0
LL-I-08256002,4,449.99,1.0,400.0,572.75,38,6,0,1,1,0,40.0,676.0
LL-I-09648960,4,199.0,0.0,3000.0,6840.83,3,7,0,1,1,0,84.0,785.0
LL-I-04967757,0,449.99,0.0,800.0,1617.37,38,4,40,1,1,0,2.0,800.0
LL-I-05639570,1,590.0,0.0,400.0,1238.43,17,0,3,3,1,0,13.0,755.0
LL-I-09928378,0,625.0,0.0,300.0,1019.49,27,0,3,3,1,0,32.0,578.0
LL-I-10334895,0,680.0,0.0,300.0,1089.77,34,0,3,1,1,0,43.0,464.0
LL-I-10653387,0,360.0,0.0,300.0,644.48,12,0,10,3,1,0,1.0,505.0
LL-I-08300569,1,601.0,0.0,800.0,2329.92,21,0,6,1,1,0,17.0,762.0
LL-I-04313451,4,590.0,0.0,400.0,1187.26,33,0,10,1,1,0,1.0,390.0
LL-I-13971094,4,645.0,0.0,500.0,1705.72,16,0,3,3,1,0,2.0,683.0
LL-I-10654072,4,590.0,0.0,500.0,1606.78,26,0,6,1,1,0,2.0,609.0
LL-I-09041867,0,540.0,1.0,800.0,2156.02,21,6,0,1,1,0,21.0,692.0
LL-I-06924554,2,601.0,0.0,900.0,2478.4,21,0,3,1,1,0,57.0,817.0
LL-I-18577266,0,680.0,0.0,500.0,1651.29,34,4,25,1,1,0,0.0,624.0
LL-I-16851912,3,359.0,0.0,600.0,1101.34,36,6,0,1,1,0,45.0,736.0
LL-I-09328316,4,360.0,0.0,350.0,778.72,12,0,6,1,1,0,23.0,684.0
LL-I-15410873,0,645.0,0.0,1000.0,3215.47,28,4,25,1,1,0,1.0,822.0
LL-I-03141449,0,360.0,0.0,600.0,1206.68,12,4,60,1,1,0,0.0,780.0
LL-I-06666314,4,324.0,1.0,750.0,1438.23,12,6,0,1,1,0,23.0,780.0
LL-I-08377433,4,590.0,0.0,600.0,1897.34,13,4,40,3,1,0,203.0,779.0
LL-I-09704094,0,324.0,1.0,300.0,600.11,12,6,0,1,1,0,91.0,643.0
LL-I-11322766,3,360.0,0.0,500.0,1006.82,12,0,6,1,1,0,121.0,632.0
LL-I-12383331,3,360.0,1.0,700.0,1474.73,12,6,0,1,1,0,1.0,632.0
LL-I-08596052,2,324.0,1.0,600.0,1225.41,12,6,0,1,1,0,1.0,624.0
LL-I-18078793,0,590.0,0.0,500.0,1436.69,38,4,25,1,1,0,4.0,868.0
LL-I-18556663,4,645.0,0.0,350.0,1212.73,29,4,25,1,1,0,0.0,596.0
LL-I-18396167,0,359.0,1.0,1800.0,3696.68,36,6,0,1,1,0,23.0,789.0
LL-I-17061534,0,359.0,0.0,1500.0,3104.8,36,4,40,4,1,0,9.0,789.0
LL-I-16457227,0,359.0,0.0,900.0,1833.7,36,4,25,1,1,0,0.0,710.0
LL-I-09173617,4,306.0,1.0,500.0,1002.64,12,6,0,1,1,0,52.0,720.0
LL-I-05093850,4,360.0,0.0,400.0,814.65,12,6,0,1,1,0,117.0,720.0
LL-I-10037740,0,540.0,1.0,601.0,1640.46,21,6,0,1,1,0,3.0,824.0
LL-I-08196094,4,501.5,1.0,1000.0,2797.06,27,6,0,1,1,0,10.0,747.0
LL-I-12103522,3,390.0,2.0,1250.0,2985.99,34,6,0,1,1,0,145.0,762.0
LL-I-14403094,0,590.0,0.0,800.0,2283.66,13,4,10,1,1,0,28.0,768.0
LL-I-02784694,0,360.0,0.0,400.0,840.47,12,0,10,1,1,0,13.0,521.0
LL-I-12427229,0,360.0,0.0,800.0,1810.34,12,4,25,1,1,0,0.0,753.0
LL-I-18298151,0,680.0,0.0,1000.0,3408.02,34,4,40,1,1,0,1.0,621.0
LL-I-13439682,0,590.0,0.0,800.0,2415.69,17,4,10,1,1,0,0.0,733.0
LL-I-04526743,4,590.0,0.0,700.0,2110.67,13,4,75,1,1,0,54.0,875.0
LL-I-18028208,0,645.0,0.0,2000.0,6430.98,29,4,25,1,1,0,0.0,869.0
LL-I-03808431,4,360.0,0.0,600.0,1244.15,12,4,6,1,1,0,26.0,803.0
LL-I-05968758,0,360.0,0.0,800.0,1594.31,12,0,3,1,1,0,27.0,676.0
LL-I-10010106,0,449.0,0.0,350.0,632.29,38,0,10,1,1,0,15.0,536.0
LL-I-13971419,0,645.0,0.0,1000.0,3457.1,5,4,25,1,1,0,1.0,853.0
LL-I-14525429,0,645.0,0.0,350.0,1142.47,14,4,25,1,1,0,0.0,390.0
LL-I-02894381,4,449.99,0.0,400.0,976.71,38,0,6,1,1,0,14.0,530.0
LL-I-05262254,4,449.99,1.0,500.0,740.21,38,6,0,1,1,0,27.0,530.0
LL-I-10273555,4,449.0,0.0,400.0,572.47,38,0,6,3,1,0,23.0,522.0
LL-I-00219667,0,442.89,0.0,1000.0,2277.44,27,4,60,1,1,0,0.0,756.0
LL-I-15999654,0,359.0,0.0,1250.0,2607.58,36,4,25,3,1,0,0.0,611.0
LL-I-15365994,0,645.0,0.0,300.0,964.89,7,0,3,1,1,0,42.0,528.0
LL-I-09041800,3,531.0,1.0,437.0,1252.05,33,6,0,1,1,1,214.0,550.0
LL-I-18307666,3,680.0,0.0,400.0,1441.91,34,4,40,3,1,0,2.0,596.0
LL-I-08774511,4,590.0,0.0,350.0,1124.87,19,0,6,1,1,0,15.0,781.0
LL-I-13144647,2,680.0,0.0,300.0,880.68,34,4,25,3,1,0,0.0,626.0
LL-I-14272092,3,645.0,0.0,1250.0,4351.69,24,4,10,1,1,0,1.0,932.0
LL-I-17611170,4,590.0,0.0,800.0,2454.9,27,4,25,1,1,0,0.0,601.0
LL-I-12851811,4,645.0,0.0,1000.0,3429.01,2,4,6,1,1,0,0.0,806.0
LL-I-13580504,0,645.0,0.0,375.0,1303.48,29,4,10,3,1,0,0.0,621.0
LL-I-07827442,2,360.0,1.0,350.0,719.49,12,6,0,1,1,0,0.0,593.0
LL-I-06380141,4,590.0,0.0,700.0,2115.42,27,0,3,1,1,0,0.0,656.0
LL-I-08539647,0,360.0,0.0,1000.0,2148.21,12,0,10,3,1,0,2.0,879.0
LL-I-18312942,0,600.0,0.0,801.0,2576.45,31,0,3,1,1,0,5.0,640.0
LL-I-13376554,0,590.0,0.0,500.0,1509.86,27,4,6,1,1,0,0.0,696.0
LL-I-03290374,0,590.0,0.0,500.0,1529.67,27,0,6,1,1,0,0.0,704.0
LL-I-18181713,0,251.0,0.0,3500.0,9745.68,8,0,3,1,1,0,45.0,602.0
LL-I-16788810,0,359.0,0.0,1000.0,1940.42,36,4,25,3,1,0,0.0,818.0
LL-I-16122108,0,680.0,0.0,600.0,1981.68,34,0,6,1,1,0,0.0,573.0
LL-I-11558195,0,590.0,0.0,350.0,1135.11,7,0,10,1,1,0,3.0,570.0
LL-I-06192887,4,601.0,0.0,600.0,1840.17,21,0,6,1,1,0,0.0,692.0
LL-I-18346437,0,590.0,1.0,700.0,2056.0,27,6,0,1,1,0,0.0,655.0
LL-I-16555296,0,590.0,0.0,600.0,1712.45,27,4,25,1,1,0,0.0,655.0
LL-I-10007971,4,449.0,0.0,400.0,572.51,38,0,6,1,1,0,51.0,401.0
LL-I-10259637,0,360.0,0.0,500.0,1044.84,12,0,3,1,1,0,3.0,457.0
LL-I-16815509,0,650.0,0.0,400.0,1265.59,27,4,10,1,1,0,0.0,638.0
LL-I-06764694,0,590.0,1.0,200.0,602.36,27,6,0,3,1,0,40.0,427.0
LL-I-04551546,4,490.0,0.0,350.0,902.33,19,0,10,1,1,0,0.0,634.0
LL-I-14226914,0,590.0,0.0,350.0,1049.43,19,0,6,1,1,1,0.0,587.0
LL-I-09755770,0,590.0,1.0,700.0,2258.53,27,6,0,1,1,0,21.0,749.0
LL-I-07022828,0,590.0,3.0,781.0,2321.64,17,6,0,1,1,0,6.0,523.0
LL-I-13375893,0,645.0,0.0,375.0,1316.73,29,4,10,1,1,0,0.0,668.0
LL-I-18281383,4,625.0,0.0,500.0,1649.65,27,4,40,1,1,0,45.0,730.0
